timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 17:38:12.162",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:38:12.161",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:38:12.120",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:38:04.121",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:38:04.119",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:38:04.119",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:37:56.115",safesoc-lnx-01,PAM: User login failed.,5,5503
"May 14, 2026 @ 17:37:46.109",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:37:46.106",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:37:46.106",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:37:40.104",safesoc-lnx-01,PAM: User login failed.,5,5503
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.551",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.510",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.510",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.510",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.491",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:19:39.478",safesoc-lnx-01,syslog: User authentication failure.,5,2501
"May 14, 2026 @ 16:54:34.791",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 16:54:04.782",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 16:53:54.820",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 16:53:54.820",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 16:53:54.820",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 16:53:54.820",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 16:53:54.819",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 16:53:54.800",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 16:53:54.799",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 16:53:54.799",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 16:53:54.799",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 16:53:54.799",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 16:53:54.799",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 16:53:54.799",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
