timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 17:50:31.703",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 17:32:36.421",safesoc-win-01,Non service account logged off.,3,67023
"May 14, 2026 @ 17:32:36.004",safesoc-win-01,Non service account logged off.,3,67023
"May 14, 2026 @ 17:32:35.815",safesoc-win-01,Special privileges assigned to new logon.,3,67028
"May 14, 2026 @ 17:32:35.688",safesoc-win-01,Windows Workstation Logon Success,3,60118
"May 14, 2026 @ 17:32:35.493",safesoc-win-01,Windows Workstation Logon Success,3,60118
"May 14, 2026 @ 17:32:30.458",safesoc-win-01,Logon Failure - Unknown user or bad password,5,60122
"May 14, 2026 @ 17:31:58.851",safesoc-win-01,Non service account logged off.,3,67023
"May 14, 2026 @ 17:31:58.834",safesoc-win-01,Non service account logged off.,3,67023
"May 14, 2026 @ 17:31:58.819",safesoc-win-01,Special privileges assigned to new logon.,3,67028
"May 14, 2026 @ 17:31:58.772",safesoc-win-01,Windows Workstation Logon Success,3,60118
"May 14, 2026 @ 17:31:58.726",safesoc-win-01,Windows Workstation Logon Success,3,60118
"May 14, 2026 @ 17:31:31.350",safesoc-win-01,Logon Failure - Unknown user or bad password,5,60122
"May 14, 2026 @ 17:25:56.303",safesoc-win-01,System time changed,5,60132
"May 14, 2026 @ 17:24:35.958",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 17:09:35.593",safesoc-win-01,Application Compatibility Database launched,12,92058
"May 14, 2026 @ 16:50:56.577",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 16:46:51.261",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 16:45:21.305",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 16:25:46.823",safesoc-win-01,Summary event of the report's signatures.,4,60608
"May 14, 2026 @ 16:25:45.756",safesoc-win-01,Summary event of the report's signatures.,4,60608
"May 14, 2026 @ 16:25:44.894",safesoc-win-01,Windows System error event,5,61102
"May 14, 2026 @ 16:24:25.075",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 16:09:34.819",safesoc-win-01,Application Compatibility Database launched,12,92058
"May 14, 2026 @ 16:03:31.213",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 15:24:34.924",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 15:09:34.561",safesoc-win-01,Application Compatibility Database launched,12,92058
"May 14, 2026 @ 14:36:30.305",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:30.290",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
