timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.552",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.551",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:20:17.511",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.510",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.510",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 17:20:17.510",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 17:20:17.491",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 17:19:39.478",safesoc-lnx-01,syslog: User authentication failure.,5,2501
