timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 14:36:30.305",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:30.290",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:30.239",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:30.222",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:30.175",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:30.175",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:30.133",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:30.131",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:23.600",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:23.585",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:23.535",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:23.519",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:23.474",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:23.473",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:23.430",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:23.429",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:16.299",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:16.297",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:16.283",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:16.278",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:16.273",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:16.261",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:16.242",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:16.236",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:09.422",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:09.406",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:09.357",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:09.342",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:09.310",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:09.310",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:09.277",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:09.265",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:02.770",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:02.752",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:02.703",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:02.687",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:02.639",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:36:02.623",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:02.579",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:36:02.579",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:55.989",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:55.973",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:55.925",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:55.909",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:55.859",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:55.844",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:55.800",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:55.799",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:49.257",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:49.242",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:49.192",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:49.180",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:49.127",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:49.127",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:49.080",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:49.067",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:41.773",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:41.765",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:41.745",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:41.740",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:41.667",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:41.664",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:41.645",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:41.637",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:34.932",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:34.913",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:34.866",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:34.850",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:34.803",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:34.785",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:34.757",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:34.756",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:28.432",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:28.401",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:27.396",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:27.383",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:27.348",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:27.333",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:35:27.301",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:35:27.291",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:18:01.466",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:56.421",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:51.393",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:46.355",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:41.338",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:36.323",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:31.294",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:26.278",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:21.277",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:16.266",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:11.227",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:17:06.161",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 14:09:34.461",safesoc-win-01,Application Compatibility Database launched,12,92058
"May 14, 2026 @ 14:06:29.592",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 14:01:13.606",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:01:13.590",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:01:13.573",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:13.482",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:13.451",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:13.358",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:13.327",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:13.284",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:13.284",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.411",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 14:01:09.380",safesoc-win-01,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,92036
"May 14, 2026 @ 14:01:09.348",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.271",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:09.242",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 14:01:09.149",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 14:01:09.148",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
