timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 18:36:08.048",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 18:36:06.132",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 18:36:05.926",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 18:34:57.625",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 18:34:57.612",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 18:34:55.379",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 18:34:10.791",safesoc-win-01,Software protection service scheduled successfully.,3,60642
"May 14, 2026 @ 18:32:12.005",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 18:29:34.513",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 18:29:34.495",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 18:27:36.240",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 18:27:36.207",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 18:27:36.127",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 18:27:36.078",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 18:27:33.245",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:33.195",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:31.858",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:31.811",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:30.427",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:30.382",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:29.109",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:29.063",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:27.788",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:27.775",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:26.582",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:26.578",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:25.344",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:25.315",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:27:24.148",safesoc-win-01,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,92066
"May 14, 2026 @ 18:27:22.542",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 18:21:29.593",safesoc-win-01,Discovery activity executed,3,92031
"May 14, 2026 @ 18:21:29.564",safesoc-win-01,Discovery activity spawned via powershell execution,3,92033
