timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 19:34:20.786",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 19:34:17.997",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 19:34:17.975",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 19:34:17.975",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 19:34:07.542",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 19:33:52.261",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 19:33:52.261",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 19:33:42.626",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 19:33:42.595",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 19:33:34.223",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 19:33:34.223",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 19:33:20.190",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
"May 14, 2026 @ 19:33:20.190",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 19:32:11.063",safesoc-win-01,Discovery activity spawned via cmd shell execution,3,92034
"May 14, 2026 @ 19:32:11.048",safesoc-win-01,Windows command prompt started by an abnormal process,4,92052
"May 14, 2026 @ 19:32:11.048",safesoc-win-01,Suspicious Windows cmd shell execution,3,92032
