timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 20:48:15.094",safesoc-win-01,Powershell process spawned powershell instance,4,92027
"May 14, 2026 @ 20:48:15.090",safesoc-win-01,Powershell executed script from suspicious location,6,92029
"May 14, 2026 @ 20:47:42.695",safesoc-win-01,Windows Defender: Antimalware platform performed an action to protect you from potentially unwanted software (),3,62124
"May 14, 2026 @ 20:47:29.714",safesoc-win-01,Windows Defender: Antimalware platform detected  potentially unwanted software (),12,62123
"May 14, 2026 @ 20:47:29.069",safesoc-win-01,Powershell was used to delete files or directories,3,92021
"May 14, 2026 @ 20:46:51.517",safesoc-win-01,Windows Defender: Antimalware platform performed an action to protect you from potentially unwanted software (),3,62124
"May 14, 2026 @ 20:46:51.515",safesoc-win-01,Windows Defender: Antimalware platform detected  potentially unwanted software (),12,62123
"May 14, 2026 @ 20:46:37.452",safesoc-win-01,Windows Defender: Antimalware platform detected  potentially unwanted software (),12,62123
"May 14, 2026 @ 20:46:37.048",safesoc-win-01,Powershell process spawned Windows command shell instance,4,92004
"May 14, 2026 @ 20:45:58.997",safesoc-win-01,Powershell was used to delete files or directories,3,92021
