timestamp,agent.name,rule.description,rule.level,rule.id
"May 14, 2026 @ 21:25:32.382",safesoc-lnx-01,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (45),7,19004
"May 14, 2026 @ 21:25:26.370",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:25:26.370",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:26.329",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:25:26.182",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:25:26.182",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:26.172",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:25:25.134",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit tools group owner is configured.: Status changed from failed to passed,3,19010
"May 14, 2026 @ 21:25:25.133",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit tools owner is configured.: Status changed from failed to passed,3,19010
"May 14, 2026 @ 21:25:25.111",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit tools mode is configured.: Status changed from passed to failed,9,19011
"May 14, 2026 @ 21:25:25.080",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit configuration files mode is configured.: Status changed from passed to failed,9,19011
"May 14, 2026 @ 21:25:25.080",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit log files group owner is configured.: Status changed from 'not applicable' to passed,3,19015
"May 14, 2026 @ 21:25:25.059",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure the audit configuration is immutable.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:25.059",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure the running and on disk configuration is the same.: Status changed from 'not applicable' to passed,3,19015
"May 14, 2026 @ 21:25:25.037",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the usermod command are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:25.037",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure kernel module loading unloading and modification is collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:25.015",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the chacl command are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:25.005",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the setfacl command are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:25.004",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the chcon command are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.983",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify the system's Mandatory Access Controls are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.977",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure file deletion events by users are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.962",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure session initiation information is collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.962",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure login and logout events are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.940",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful file system mounts are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.930",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure discretionary access control permission modification events are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.919",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify user/group information are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.908",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure unsuccessful file access attempts are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.897",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify the system's network environment are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.887",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify date and time information are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.877",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify the sudo log file are collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.876",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure actions as another user are always logged.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.854",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure system warns when audit logs are low on space.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.854",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure changes to system administration scope (sudoers) is collected.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.834",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit log storage size is configured.: Status changed from 'not applicable' to passed,3,19015
"May 14, 2026 @ 21:25:24.834",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit logs are not automatically deleted.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.834",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure system is disabled when audit logs are full.: Status changed from 'not applicable' to failed,9,19014
"May 14, 2026 @ 21:25:24.791",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure auditd service is enabled and active.: Status changed from failed to passed,3,19010
"May 14, 2026 @ 21:25:24.770",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure auditd packages are installed.: Status changed from failed to passed,3,19010
"May 14, 2026 @ 21:25:22.792",safesoc-lnx-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all AppArmor Profiles are in enforce or complain mode.: Status changed from passed to failed,9,19011
"May 14, 2026 @ 21:25:18.365",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:18.342",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:25:18.341",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:18.341",safesoc-lnx-01,First time user executed sudo.,4,5403
"May 14, 2026 @ 21:25:18.341",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:18.341",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:25:18.340",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:25:18.340",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:13.110",safesoc-lnx-01,Wazuh agent started.,3,503
"May 14, 2026 @ 21:25:11.013",safesoc-lnx-01,Wazuh agent stopped.,3,506
"May 14, 2026 @ 21:25:01.749",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:25:01.747",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:25:01.747",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:24:55.787",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:24:55.787",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:24:55.745",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:24:45.785",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:24:45.785",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:24:45.743",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:23:53.768",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:23:53.767",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:23:53.726",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:22:11.688",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:21:39.722",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:21:39.681",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:21:31.679",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:20:51.620",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:20:51.620",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:20:49.619",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:20:09.601",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:20:09.601",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:19:43.603",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:19:43.601",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:19:43.598",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:19:43.596",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:19:43.594",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:19:43.593",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:19:37.634",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:19:37.634",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:19:37.593",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:18:39.578",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:18:23.595",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:18:23.593",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:18:23.591",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:18:23.582",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:18:23.579",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:18:23.577",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:18:23.574",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:18:23.572",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:18:23.572",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:18:19.608",safesoc-lnx-01,PAM: Login session closed.,3,5502
"May 14, 2026 @ 21:18:19.605",safesoc-lnx-01,PAM: Login session opened.,3,5501
"May 14, 2026 @ 21:18:19.603",safesoc-lnx-01,Successful sudo to ROOT executed.,3,5402
"May 14, 2026 @ 21:18:19.601",safesoc-lnx-01,PAM: Login session closed.,3,5502
