timestamp,agent.name,rule.description,rule.level,rule.id
"May 15, 2026 @ 00:55:36.666",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:54:54.005",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:53:55.987",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:53:10.631",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:52:31.930",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:51:31.933",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:50:41.923",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:49:49.910",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:48:53.889",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:47:51.834",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:47:18.510",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:46:22.534",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:45:36.485",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:44:43.818",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:43:47.804",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:43:10.437",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:42:09.736",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:41:07.725",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:40:08.392",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:39:27.738",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:38:28.388",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:37:35.672",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:36:50.358",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:36:04.301",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:35:07.631",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:34:20.313",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:33:42.303",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:32:42.280",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:32:03.577",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:31:11.531",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:30:07.545",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:29:22.184",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:28:31.519",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:27:45.506",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:26:59.493",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:26:17.443",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:25:35.434",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:24:29.451",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:23:35.406",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:22:37.386",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:21:37.372",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:20:39.359",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:19:55.349",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:18:55.313",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:17:47.297",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:16:43.322",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:15:35.267",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:14:35.246",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:13:37.238",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:12:25.208",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
"May 15, 2026 @ 00:00:21.067",safesoc-lnx-01,Auditd: SELinux permission check.,3,80730
"May 15, 2026 @ 00:00:17.017",safesoc-lnx-01,Processes running for all users were queried with ps command.,6,92604
