run_id,alert_count,file
S11-MAN-R001,16,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S11-MAN-R001_alerts.jsonl
S11-MAN-R002,16,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S11-MAN-R002_alerts.jsonl
S11-MAN-R003,16,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S11-MAN-R003_alerts.jsonl
S12-MAN-R002,14,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S12-MAN-R002_alerts.jsonl
S02-MAN-R001,7,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S02-MAN-R001_alerts.jsonl
S01-ART-R001,24,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S01-ART-R001_alerts.jsonl
S02-ART-R001,32,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S02-ART-R001_alerts.jsonl
S03-ART-R001,8,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S03-ART-R001_alerts.jsonl
S04-ART-R001,16,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S04-ART-R001_alerts.jsonl
C-WIN-01-CAL-R001,2,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\C-WIN-01-CAL-R001_alerts.jsonl
C-WIN-01-CAL-R002,10,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\C-WIN-01-CAL-R002_alerts.jsonl
S07-MAN-R001,51,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S07-MAN-R001_alerts.jsonl
S07-MAN-R002,9,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S07-MAN-R002_alerts.jsonl
S08-MAN-R001,18,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S08-MAN-R001_alerts.jsonl
S08-MAN-R002,10,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S08-MAN-R002_alerts.jsonl
S09-MAN-R001,13,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S09-MAN-R001_alerts.jsonl
S09-MAN-R002,37,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S09-MAN-R002_alerts.jsonl
S10-MAN-R001,49,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S10-MAN-R001_alerts.jsonl
S10-MAN-R002,83,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\S10-MAN-R002_alerts.jsonl
C-LNX-01-CAL-R001,13,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\C-LNX-01-CAL-R001_alerts.jsonl
C-LNX-01-CAL-R003,105,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\C-LNX-01-CAL-R003_alerts.jsonl
C-LNX-01-CAL-R002,46,06_data\phase_02_scenario_dataset\sprint_07_raw_exports\per_run\C-LNX-01-CAL-R002_alerts.jsonl
