alert_uid,reference_count,run_ids,scenario_ids,campaign_ids,rule_id,rule_description,interpretation
ALERT-561FB6D199940F1C,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D33329D0398DE5E9,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-319CCDE655311608,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-4E48943D1FB4B605,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-A1220A2648FB0DAA,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-A591C7557ECCEB16,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-8886D78D94AD800D,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-56E5215B1774D9BD,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D333DCF417EBA53B,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-585DD3F6152E6CA5,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-0E36E33EAB78C7F9,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E9DD862B632660E7,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-D0A9E728D7C1698C,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-E7E9E15ED9F70D35,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
ALERT-45EFA995E37102F8,4,C-LNX-01-CAL-R002;C-LNX-01-CAL-R003,,C-LNX-01,92604,Processes running for all users were queried with ps command.,Repeated correlation reference across overlapping run/campaign windows; not necessarily a duplicate raw alert.
