field,non_empty_count,empty_count,completeness_percent
label_id,800,0,100.00
alert_uid,800,0,100.00
scenario_id,419,381,52.38
campaign_id,176,624,22.00
run_id,800,0,100.00
agent_name,800,0,100.00
timestamp,800,0,100.00
label,800,0,100.00
event_role,800,0,100.00
simulation_type,800,0,100.00
execution_mode,800,0,100.00
tool,800,0,100.00
atomic_test_id,80,720,10.00
caldera_operation_id,176,624,22.00
caldera_adversary_profile,176,624,22.00
caldera_ability_id,176,624,22.00
mitre_tactic,800,0,100.00
mitre_technique_id,800,0,100.00
rule_id,800,0,100.00
rule_description,800,0,100.00
confidence,800,0,100.00
ground_truth_summary,800,0,100.00
notes,800,0,100.00
