scenario_or_campaign,mitre_technique_id,count
EMPTY,N/A,205
EMPTY,T1057,148
EMPTY,T1059.001,2
EMPTY,T1059.001/T1082/T1033/T1016/T1053.005/T1560.001,5
EMPTY,T1059.003,1
EMPTY,T1070.004,3
EMPTY,T1078,4
EMPTY,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,10
EMPTY,T1546.011,1
EMPTY,T1548.003,2
S01,T1059.001,8
S01,T1059.003,1
S01,T1070.004,8
S01,T1087,5
S01,T1087/T1059.001,1
S01,T1087/T1059.003,1
S02,T1059.001,11
S02,T1059.003,5
S02,T1070.004,8
S02,T1082/T1033/T1016,3
S02,T1087,6
S02,T1087/T1059.001,2
S02,T1087/T1059.003,3
S02,T1546.011,1
S03,T1027/T1112,1
S03,T1053.005,2
S03,T1059.003,1
S03,T1087/T1059.003,1
S03,T1135,2
S03,T1546.011,1
S04,T1059.001,2
S04,T1059.003,6
S04,T1087/T1059.003,7
S04,T1135,1
S07,T1078,8
S07,T1078/T1110,2
S07,T1082/T1033/T1016,2
S07,T1110,7
S07,T1110.001,18
S07,T1110.001/T1021.004,17
S07,T1548.003,6
S08,T1078,2
S08,T1110.001,4
S08,T1548.003,22
S09,T1053.003,2
S09,T1057,1
S09,T1078,10
S09,T1082/T1033/T1016,27
S09,T1548.003,10
S10,T1053.003,77
S10,T1078,26
S10,T1082/T1033/T1016,2
S10,T1548.003,26
S10,T1565.001,1
S11,N/A,17
S11,T1078,16
S11,T1548.003,14
S11,T1562.001,1
S12,N/A,6
S12,T1078,4
S12,T1484,2
S12,T1531,2
