"relative_path","sprint_or_folder","extension","size_bytes","sha256"
"sprint_03_emulation_infrastructure\EVD-S03-001-caldera_build_success.png","sprint_03_emulation_infrastructure",".png","361807","EAB5D9392BF2C9BC190E5E4D831503320D7E1C7C056425500777D651C7B7FC93"
"sprint_03_emulation_infrastructure\EVD-S03-001-caldera_login_ui.png","sprint_03_emulation_infrastructure",".png","100213","B8A5285D9091A67ED65551D72AC41B60625635D72E5CE5E1DF5F151522A2CA5A"
"sprint_03_emulation_infrastructure\EVD-S03-001-dependencies-installed.png","sprint_03_emulation_infrastructure",".png","110498","1060C8D5ADC81134C253D3C584DB9C4EACF5A5D084788AF806484572E487608E"
"sprint_03_emulation_infrastructure\EVD-S03-003-caldera-dashboard.png","sprint_03_emulation_infrastructure",".png","178563","D73B1606AE2E2F696E11C64958F90204D66D730DF660CF06B7F98AA69D6AFC8A"
"sprint_03_emulation_infrastructure\EVD-S03-006-atomic-red-team-ready.png","sprint_03_emulation_infrastructure",".png","89216","B4568084F8D3AF07806AF21723971645F228C7D6B1E5F8B1AE84276218DC0720"
"sprint_03_emulation_infrastructure\EVD-S03-007-cross-vm-connectivity.png","sprint_03_emulation_infrastructure",".png","200865","5E2FCDA122AA7D03F6910E667EFA1AAF27BC3B2FF488535478A9A697DF0DB082"
"sprint_04\Everything_Since_Lnx_Agent.csv","sprint_04",".csv","570373","E177AE5A698BCF9E69800BD336BE381755F53171433018C6740C96101BE3CB01"
"sprint_04\Everything_Since_Win_Agent.csv","sprint_04",".csv","142147","4D4CA811BB9822CA9206F16E4A9791E3F34BAE535FA82A315151065D69306F5E"
"sprint_04\Linux\ALL-S11.csv","sprint_04",".csv","4021","B5769D811D88D27F8D75B7BA038288BD578AB91CFA3F703979E32900AFB08B00"
"sprint_04\Linux\S11-MAN-R001\after.png","sprint_04",".png","271187","C498D2C2076CECACC1F4A24E60A18DD351123EB2A7878C7FC6BCD95F02A8DC02"
"sprint_04\Linux\S11-MAN-R001\EVD-S04-S11-R001-001-start-time-and-commands.png","sprint_04",".png","182868","51E790DD826359E01501C65A210A450A231FF48EE44B5E8943D77C78C73D3C0A"
"sprint_04\Linux\S11-MAN-R001\EVD-S04-S11-R001-005-end-time.png","sprint_04",".png","210709","E7116AFCB7F1F2C5CC015685CCE71FC2CC39147C88E506F7BAE91633FF7C7C6D"
"sprint_04\Linux\S11-MAN-R001\EVD-S04-S11-R001-008-wazuh-events.png","sprint_04",".png","276388","658AF485C2FAB55040ADF03029335A43BF515419AA9803397C37E1E7AA8DEF74"
"sprint_04\Linux\S11-MAN-R001\EVD-S04-S11-R001-008-wazuh-events-export.csv","sprint_04",".csv","1344","DFAA0605FEF73CB97C7283F29A229A4E73C0E8A4E3A086260C97BE032F338BF4"
"sprint_04\Linux\S11-MAN-R001\EVD-S04-S11-R001-009-wazuh-events-export.csv","sprint_04",".csv","349","C65A381658C03191C31BD1972541415BD7D325794F712A85267A6DA7483CACE3"
"sprint_04\Linux\S11-MAN-R002\after.png","sprint_04",".png","322399","06F2F409DCEFA56D49353EBD6A0A78345EC72526685BA3749033467E0A6EEC28"
"sprint_04\Linux\S11-MAN-R002\EVD-S04-S11-R002-001-end-time.png","sprint_04",".png","168555","3B115AFA0027AFD00EB470AA63A02F675C773E4164265AE9E987C8160A1520F3"
"sprint_04\Linux\S11-MAN-R002\EVD-S04-S11-R002-001-start-time.png","sprint_04",".png","219891","AD1BA35F40EBA38152927720E99F21F7A3B4000A320AC3ED6E7F707A4407A0C0"
"sprint_04\Linux\S11-MAN-R002\EVD-S04-S11-R002-008-wazuh-events.png","sprint_04",".png","327429","6C20078C808599E4953B2DCA54F7A5D9919B507FBD45F5E34DF302875025D787"
"sprint_04\Linux\S11-MAN-R002\EVD-S04-S11-R002-008-wazuh-events-export.csv","sprint_04",".csv","1355","44F977B8704734DA01292107292377EEC7B70D3A9294BBA92A9A07117EE1EE00"
"sprint_04\Linux\S11-MAN-R002\EVD-S04-S11-R002-009-wazuh-events-export.csv","sprint_04",".csv","393","E387FBAF19003012B38535A142E4418D99520E887F754006446079EBA7BEBEC1"
"sprint_04\Linux\S11-MAN-R003\after.png","sprint_04",".png","318447","A2BA814CCCAAC0A18F788A9C3C6AA61C05E0CB698A818F3DE049157C72A3711F"
"sprint_04\Linux\S11-MAN-R003\EVD-S04-S11-R003-001-start-time-and-commands.png","sprint_04",".png","199665","DA009975C7CF54C0F1E16949D9F3C207E9205E6F779638A56CA6729E550F0987"
"sprint_04\Linux\S11-MAN-R003\EVD-S04-S11-R003-005-end-time.png","sprint_04",".png","128412","D36BD19BFDCE69B212705CF3AFF02EFB3F8D82A6520197C53198490AC8185CFA"
"sprint_04\Linux\S11-MAN-R003\EVD-S04-S11-R003-008-wazuh-events.png","sprint_04",".png","319660","987C756869BFD09F4C4E9ED1BC560FF8EF156A3866EC8B8615E5BB7DDDB3C3CE"
"sprint_04\Linux\S11-MAN-R003\EVD-S04-S11-R003-008-wazuh-events-export.csv","sprint_04",".csv","1365","F020E9682E02ED7156255F8B68A1C0F6F1F62CCB87084119CA9F68995F3261B1"
"sprint_04\Linux\S11-MAN-R003\EVD-S04-S11-R003-009-wazuh-events-export.csv","sprint_04",".csv","392","B5E22F0CF62947735B95F170AB40E99F7966977C90A47A329EE34E77D49C15BC"
"sprint_04\Linux\S12-MAN-R001\EVD-S04-S12-R001-001-end-time.png","sprint_04",".png","213743","7036D0B7F871782744E9FF4B85679C62A1C2031093377FDD0365CBC24B9FB03C"
"sprint_04\Linux\S12-MAN-R001\EVD-S04-S12-R001-001-start-time-and-commands.png","sprint_04",".png","200261","C8121B28F7F67F3E811C14002744A87D3D5D4E37C862B8FEAD3A90756498D02B"
"sprint_04\Linux\S12-MAN-R001\EVD-S04-S12-R001-009-wazuh-events.png","sprint_04",".png","330808","B3060BB604D6981886597AEDE15CA2C3B0ED4D9E86F9227DF379CE959D5146A1"
"sprint_04\Linux\S12-MAN-R001\EVD-S04-S12-R001-009-wazuh-events-export.csv","sprint_04",".csv","369","5B01D3616F068407F2A2A27ABDAE3859F843D3A026789D76EC5CB7A67069C924"
"sprint_04\S05\EVD-S04-S05-R001-008-wazuh-events-export.csv","sprint_04",".csv","416","991CE4E2FEFC5A56594E1905482064373ACF24F146462941E82817655AD9973D"
"sprint_04\Windows\S05 and S06.csv","sprint_04",".csv","33731","E7B8FA5EDA4553DEBAF37CA49F7CD49F410078096F8353521739E500CAC8D56A"
"sprint_04\Windows\S05-MAN-R001\after.png","sprint_04",".png","315281","6C0D8EFB8E67344CD7C7E43CAD05DDA397EA90D9D6268F9DC8B6C95E97F75B69"
"sprint_04\Windows\S05-MAN-R001\before.png","sprint_04",".png","327325","AB9B63746B2C0D3407E06C790B200ECC38417F235C0172384E26830D5F7F3D67"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-001-start-time.png","sprint_04",".png","85586","8A9EBE57ADE9B83AB02E73B1E30600518B912283D7F53CBF6F0EBDD700FA3087"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-1.png","sprint_04",".png","258210","D56AD29F22C9C7A68CF5D43E560F9EB9B0A76895DB6F2EF0A3B5D4B742D126EC"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-2.png","sprint_04",".png","154617","F60ABAFC8E68A81657226D18B681FBE04738368505AE8261A924C232F2C04EC3"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-3.png","sprint_04",".png","159317","42FE244208E39626E8D98D7DB8042F6C957F61885BCDA5146760F89ECC013926"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-4.png","sprint_04",".png","131824","B7F468A707B7498488DEB60D106672637A4240EA6AC459E32481D615A4893730"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-5.png","sprint_04",".png","143611","A7E9B524170D16A535F80042497F6204FEB372DC73DD3DC1C6CBD18F356D4F47"
"sprint_04\Windows\S05-MAN-R001\EVD-S04-S05-R001-004-event-log-query.png","sprint_04",".png","200228","FD6F4F3B5C666A0104F93D7DDBC4EE043F23323A8E2F8D394D374681EC377ADB"
