relative_path,extension,bytes,modified
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\EVD-S03-001-caldera_build_success.png,.png,361807,2026-05-14T08:34:19.161Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\EVD-S03-001-caldera_login_ui.png,.png,100213,2026-05-14T08:34:56.502Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\EVD-S03-001-dependencies-installed.png,.png,110498,2026-05-14T08:18:49.474Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\EVD-S03-003-caldera-dashboard.png,.png,178563,2026-05-14T08:44:43.271Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\EVD-S03-006-atomic-red-team-ready.png,.png,89216,2026-05-14T08:46:52.523Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\EVD-S03-007-cross-vm-connectivity.png,.png,200865,2026-05-14T08:47:32.695Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\ALL-S11.csv,.csv,4021,2026-05-14T21:26:16.482Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R001\after.png,.png,271187,2026-05-14T19:35:22.651Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R001\EVD-S04-S11-R001-001-start-time-and-commands.png,.png,182868,2026-05-14T19:34:26.879Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R001\EVD-S04-S11-R001-005-end-time.png,.png,210709,2026-05-14T19:34:52.186Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R001\EVD-S04-S11-R001-008-wazuh-events-export.csv,.csv,1344,2026-05-14T19:35:58.084Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R001\EVD-S04-S11-R001-008-wazuh-events.png,.png,276388,2026-05-14T19:35:56.402Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R001\EVD-S04-S11-R001-009-wazuh-events-export.csv,.csv,349,2026-05-14T19:36:45.064Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R002\after.png,.png,322399,2026-05-14T20:55:32.384Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R002\EVD-S04-S11-R002-001-end-time.png,.png,168555,2026-05-14T20:54:56.372Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R002\EVD-S04-S11-R002-001-start-time.png,.png,219891,2026-05-14T20:54:40.313Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R002\EVD-S04-S11-R002-008-wazuh-events-export.csv,.csv,1355,2026-05-14T20:56:07.080Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R002\EVD-S04-S11-R002-008-wazuh-events.png,.png,327429,2026-05-14T20:56:05.121Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R002\EVD-S04-S11-R002-009-wazuh-events-export.csv,.csv,393,2026-05-14T20:57:12.017Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R003\after.png,.png,318447,2026-05-14T21:22:13.296Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R003\EVD-S04-S11-R003-001-start-time-and-commands.png,.png,199665,2026-05-14T21:20:55.174Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R003\EVD-S04-S11-R003-005-end-time.png,.png,128412,2026-05-14T21:21:32.577Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R003\EVD-S04-S11-R003-008-wazuh-events-export.csv,.csv,1365,2026-05-14T21:22:53.035Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R003\EVD-S04-S11-R003-008-wazuh-events.png,.png,319660,2026-05-14T21:22:46.299Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S11-MAN-R003\EVD-S04-S11-R003-009-wazuh-events-export.csv,.csv,392,2026-05-14T21:24:16.931Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S12-MAN-R001\EVD-S04-S12-R001-001-end-time.png,.png,213743,2026-05-14T21:39:07.455Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S12-MAN-R001\EVD-S04-S12-R001-001-start-time-and-commands.png,.png,200261,2026-05-14T21:38:46.993Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S12-MAN-R001\EVD-S04-S12-R001-009-wazuh-events-export.csv,.csv,369,2026-05-14T21:40:39.023Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Linux\S12-MAN-R001\EVD-S04-S12-R001-009-wazuh-events.png,.png,330808,2026-05-14T21:39:50.361Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05 and S06.csv,.csv,33731,2026-05-14T18:40:47.784Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\after.png,.png,315281,2026-05-14T16:38:07.343Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\before.png,.png,327325,2026-05-14T16:37:58.722Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-001-start-time.png,.png,85586,2026-05-14T16:31:05.136Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-1.png,.png,258210,2026-05-14T16:33:10.549Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-2.png,.png,154617,2026-05-14T16:33:33.184Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-3.png,.png,159317,2026-05-14T16:33:51.476Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-4.png,.png,131824,2026-05-14T16:34:14.078Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-002-admin-commands-5.png,.png,143611,2026-05-14T16:34:27.224Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-004-event-log-query.png,.png,200228,2026-05-14T16:35:24.077Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-005-file-browsing1.png,.png,95708,2026-05-14T16:36:31.567Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-005-file-browsing2.png,.png,37195,2026-05-14T16:36:51.624Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-006-end-time.png,.png,16413,2026-05-14T16:37:20.536Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R001\EVD-S04-S05-R001-007-wazuh-alerts_og.png,.png,357970,2026-05-14T16:39:13.278Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\after.png,.png,320768,2026-05-14T17:02:47.476Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-002-admind-commands1.png,.png,158470,2026-05-14T17:00:54.476Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-002-admind-commands2.png,.png,214589,2026-05-14T17:01:11.624Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-002-admind-commands3.png,.png,211201,2026-05-14T17:01:30.575Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-002-admind-commands4.png,.png,74188,2026-05-14T17:01:48.513Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-006-end-time.png,.png,25112,2026-05-14T17:02:21.220Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-006-start-time.png,.png,44195,2026-05-14T16:58:54.355Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R002\EVD-S04-S05-R002-009-wazuh-events-export.csv,.csv,468,2026-05-14T17:07:08.257Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\after.png,.png,321030,2026-05-14T17:11:05.424Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\after2.png,.png,350882,2026-05-14T17:14:55.696Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\EVD-S04-S05-R003-001-end-time.png,.png,25320,2026-05-14T17:10:41.301Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\EVD-S04-S05-R003-001-start-time.png,.png,31162,2026-05-14T17:08:01.442Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\EVD-S04-S05-R003-002-commands1.png,.png,145386,2026-05-14T17:09:32.077Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\EVD-S04-S05-R003-002-commands2.png,.png,175475,2026-05-14T17:09:48.294Z
..\..\07_evidence\phase_02_scenario_dataset\screenshots\Phase2\Sprint4\Windows\S05-MAN-R003\EVD-S04-S05-R003-002-commands3.png,.png,208954,2026-05-14T17:10:10.632Z
