"case_id","run_id","campaign_id","case_type","agent_name","start_ts","end_ts","raw_alert_count","unique_rule_count","trigger_alert_count","supporting_alert_count","duplicate_alert_count","noise_alert_count","duplicate_ratio","mitre_techniques","execution_mode","tool","case_summary","analyst_expected_conclusion","meaningful_alert_count","suppression_candidate_count","compression_potential","dominant_label","dominant_event_role","scenario_id","rule_ids","notes"
"CASE-001","C-LNX-01-CAL-R001","C-LNX-01","run_case","safesoc-lnx-01","2026-05-14T23:41:36.705-0400","2026-05-14T23:42:39.324-0400","13","6","2","11","0","0","0.0000","T1548.003;T1078;T1110.001/T1548.003/T1082/T1033/T1016/T1053.003","caldera","MITRE Caldera","Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","13","0","0.0000","attack_like","supporting","","5402;5501;2901;2904;2902;5502",""
"CASE-002","C-LNX-01-CAL-R002","C-LNX-01","run_case","safesoc-lnx-01","2026-05-15T00:12:25.208-0400","2026-05-15T00:32:42.280-0400","46","1","2","21","23","0","0.5000","T1057","caldera","MITRE Caldera","Run-level investigation case for C-LNX-01-CAL-R002, containing 46 correlated labeled alerts across 1 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","23","23","0.5000","attack_like","duplicate","","92604",""
"CASE-003","C-LNX-01-CAL-R003","C-LNX-01","run_case","safesoc-lnx-01","2026-05-15T00:00:01.795-0400","2026-05-15T00:55:36.666-0400","105","2","2","27","76","0","0.7238","T1057;T1110.001/T1548.003/T1082/T1033/T1016/T1053.003","caldera","MITRE Caldera","Run-level investigation case for C-LNX-01-CAL-R003, containing 105 correlated labeled alerts across 2 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","29","76","0.7238","attack_like","duplicate","","92604;80730",""
"CASE-004","C-WIN-01-CAL-R001","C-WIN-01","run_case","safesoc-win-01","2026-05-14T20:08:30.984-0400","2026-05-14T20:09:36.451-0400","2","2","2","0","0","0","0.0000","T1070.004;T1546.011","caldera","MITRE Caldera","Run-level investigation case for C-WIN-01-CAL-R001, containing 2 correlated labeled alerts across 2 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","2","0","0.0000","attack_like","trigger","","92021;92058",""
"CASE-005","C-WIN-01-CAL-R002","C-WIN-01","run_case","safesoc-win-01","2026-05-14T20:45:58.997-0400","2026-05-14T20:48:15.094-0400","10","6","2","4","4","0","0.4000","T1070.004;T1059.003;T1059.001/T1082/T1033/T1016/T1053.005/T1560.001;T1059.001","caldera","MITRE Caldera","Run-level investigation case for C-WIN-01-CAL-R002, containing 10 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","6","4","0.4000","attack_like","supporting","","92021;92004;62123;62124;92029;92027",""
"CASE-006","S01-ART-R001","","run_case","safesoc-win-01","2026-05-14T18:21:29.564-0400","2026-05-14T18:29:34.513-0400","24","6","1","3","18","2","0.7500","T1087/T1059.001;T1087;T1070.004;T1059.001;T1059.003;T1087/T1059.003","atomic_red_team","Atomic Red Team","Run-level investigation case for S01-ART-R001, containing 24 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","4","20","0.8333","attack_like","duplicate","S01","92033;92031;92021;92066;92052;92032",""
"CASE-007","S02-ART-R001","","run_case","safesoc-win-01","2026-05-14T18:21:29.564-0400","2026-05-14T18:36:08.048-0400","32","8","1","0","28","3","0.8750","T1087/T1059.001;T1087;T1070.004;T1059.001;T1059.003;T1087/T1059.003;T1082/T1033/T1016","atomic_red_team","Atomic Red Team","Run-level investigation case for S02-ART-R001, containing 32 correlated labeled alerts across 8 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","1","31","0.9688","attack_like","duplicate","S02","92033;92031;92021;92066;92052;92032;60642;92027",""
"CASE-008","S02-MAN-R001","","run_case","safesoc-win-01","2026-05-14T18:09:35.760-0400","2026-05-14T18:21:29.593-0400","7","7","1","1","1","4","0.1429","T1546.011;T1082/T1033/T1016;T1059.003;T1087/T1059.003;T1087/T1059.001;T1087","manual","manual","Run-level investigation case for S02-MAN-R001, containing 7 correlated labeled alerts across 7 Wazuh rule IDs.","Analyst should treat this as a weak-detection case: the scenario was attempted, but the observable telemetry is too weak or off-target to support a confident attack-like conclusion.","2","5","0.7143","unrelated_background","unrelated","S02","92058;23502;61104;92052;92032;92033;92031","weak_detection_case; attack_like_failed; scenario attempted but telemetry was weak or off-target"
"CASE-009","S03-ART-R001","","run_case","safesoc-win-01","2026-05-14T19:09:26.105-0400","2026-05-14T19:17:18.486-0400","8","6","1","0","2","5","0.2500","T1053.005;T1546.011;T1059.003;T1087/T1059.003;T1027/T1112;T1135","atomic_red_team","Atomic Red Team","Run-level investigation case for S03-ART-R001, containing 8 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should treat this as a weak-detection case: the scheduled-task scenario was attempted, but the observed telemetry is too weak or off-target to support a confident attack-like conclusion.","1","7","0.8750","unrelated_background","unrelated","S03","60642;92058;92052;92032;92041;92034","weak_detection_case; attack_like_failed; scenario attempted but telemetry was weak or off-target"
"CASE-010","S04-ART-R001","","run_case","safesoc-win-01","2026-05-14T19:32:11.048-0400","2026-05-14T19:34:20.786-0400","16","4","1","1","12","2","0.7500","T1059.003;T1087/T1059.003;T1135;T1059.001","atomic_red_team","Atomic Red Team","Run-level investigation case for S04-ART-R001, containing 16 correlated labeled alerts across 4 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression.","2","14","0.8750","attack_like","duplicate","S04","92052;92032;92034;92027",""
