agent_name,rule_id,rule_description,rule_level,raw_count,unlabeled_count,labeled_overlap_count
safesoc-lnx-01,2904,Dpkg (Debian Package) half configured.,7,672,648,24
safesoc-lnx-01,550,Integrity checksum changed.,7,469,463,6
safesoc-lnx-01,2902,New dpkg (Debian Package) installed.,7,422,401,21
safesoc-lnx-01,5501,PAM: Login session opened.,3,107,45,62
safesoc-lnx-01,92604,Processes running for all users were queried with ps command.,6,103,0,103
safesoc-win-01,92032,Suspicious Windows cmd shell execution,3,101,85,16
safesoc-win-01,92004,Powershell process spawned Windows command shell instance,4,97,91,6
safesoc-lnx-01,5502,PAM: Login session closed.,3,96,42,54
safesoc-lnx-01,5402,Successful sudo to ROOT executed.,3,89,37,52
safesoc-lnx-01,554,File added to the system.,5,45,39,6
safesoc-wazuh-01,5502,PAM: Login session closed.,3,44,34,10
safesoc-wazuh-01,5501,PAM: Login session opened.,3,43,33,10
safesoc-win-01,92021,Powershell was used to delete files or directories,3,43,27,16
safesoc-win-01,92066,C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe,4,40,27,13
safesoc-win-01,92031,Discovery activity executed,3,37,27,10
safesoc-wazuh-01,5402,Successful sudo to ROOT executed.,3,33,23,10
safesoc-win-01,60642,Software protection service scheduled successfully.,3,30,21,9
safesoc-win-01,594,Registry Key Integrity Checksum Changed,5,25,20,5
safesoc-win-01,750,Registry Value Integrity Checksum Changed,5,22,17,5
safesoc-win-01,92027,Powershell process spawned powershell instance,4,21,13,8
safesoc-win-01,61104,Service startup type was changed,3,19,13,6
safesoc-win-01,92052,Windows command prompt started by an abnormal process,4,19,5,14
safesoc-lnx-01,2901,New dpkg (Debian Package) requested to install.,3,18,9,9
safesoc-wazuh-01,2902,New dpkg (Debian Package) installed.,7,16,6,10
safesoc-wazuh-01,2904,Dpkg (Debian Package) half configured.,7,16,6,10
safesoc-lnx-01,5503,PAM: User login failed.,5,16,6,10
safesoc-wazuh-01,52002,Apparmor DENIED,3,15,10,5
safesoc-wazuh-01,553,File deleted.,7,15,10,5
safesoc-win-01,92036,A C:\\Windows\\System32\\net.exe binary was started by a Windows cmd shell,3,14,12,2
safesoc-lnx-01,100760,SafeAgentSOC run start marker observed,3,14,0,14
safesoc-lnx-01,100761,SafeAgentSOC run end marker observed,3,14,0,14
safesoc-lnx-01,5710,sshd: Attempt to login using a non-existent user,5,13,6,7
safesoc-wazuh-01,550,Integrity checksum changed.,7,12,7,5
safesoc-wazuh-01,2901,New dpkg (Debian Package) requested to install.,3,10,2,8
safesoc-lnx-01,5760,sshd: authentication failed.,5,10,0,10
safesoc-lnx-01,52002,Apparmor DENIED,3,9,4,5
safesoc-win-01,92058,Application Compatibility Database launched,12,9,6,3
safesoc-wazuh-01,533,Listened ports status (netstat) changed (new port opened or closed).,7,8,4,4
safesoc-win-01,60118,Windows Workstation Logon Success,3,8,2,6
safesoc-wazuh-01,554,File added to the system.,5,7,3,4
safesoc-win-01,752,Registry Value Entry Added to the System,5,6,1,5
safesoc-win-01,67023,Non service account logged off.,3,6,0,6
safesoc-lnx-01,100764,SafeAgentSOC S09 Linux discovery scenario marker,5,6,0,6
safesoc-lnx-01,2502,syslog: User missed the password more than one time,10,6,0,6
safesoc-win-01,503,Wazuh agent started.,3,5,5,0
safesoc-lnx-01,5401,Failed attempt to run sudo.,5,5,1,4
safesoc-wazuh-01,5715,sshd: authentication success.,3,4,0,4
safesoc-win-01,67028,Special privileges assigned to new logon.,3,4,1,3
safesoc-lnx-01,2501,syslog: User authentication failure.,5,4,0,4
safesoc-win-01,60608,Summary event of the report's signatures.,4,4,4,0
safesoc-win-01,506,Wazuh agent stopped.,3,4,4,0
safesoc-wazuh-01,502,Wazuh server started.,3,4,4,0
safesoc-lnx-01,100763,SafeAgentSOC S08 Linux sudo authentication scenario marker,6,4,0,4
safesoc-lnx-01,100765,SafeAgentSOC S10 Linux cron marker scenario,7,4,0,4
safesoc-lnx-01,100782,SafeAgentSOC simulated credential dumping gap marker,10,4,4,0
safesoc-lnx-01,100783,SafeAgentSOC simulated Linux log clearing gap marker,10,4,4,0
safesoc-lnx-01,100784,SafeAgentSOC simulated defense impairment gap marker,10,4,4,0
safesoc-win-01,61138,New Windows Service Created,5,4,4,0
safesoc-lnx-01,80730,Auditd: SELinux permission check.,3,3,0,3
safesoc-wazuh-01,5902,New user added to the system.,8,3,1,2
safesoc-win-01,60646,License activation (slui.exe) failed.,5,3,2,1
safesoc-win-01,598,Registry Key Entry Added to the System,5,3,0,3
safesoc-win-01,92033,Discovery activity spawned via powershell execution,3,3,0,3
safesoc-lnx-01,506,Wazuh agent stopped.,3,3,2,1
safesoc-lnx-01,503,Wazuh agent started.,3,3,2,1
safesoc-win-01,60122,Logon Failure - Unknown user or bad password,5,3,1,2
safesoc-win-01,92034,Discovery activity spawned via cmd shell execution,3,3,0,3
safesoc-win-01,62123,Windows Defender: Antimalware platform detected  potentially unwanted software (),12,3,0,3
safesoc-win-01,504,Wazuh agent disconnected.,3,3,3,0
safesoc-win-01,62124,Windows Defender: Antimalware platform performed an action to protect you from potentially unwanted software (),3,2,0,2
safesoc-lnx-01,5403,First time user executed sudo.,4,2,2,0
safesoc-lnx-01,40112,Multiple authentication failures followed by a success.,12,2,0,2
safesoc-lnx-01,2832,Crontab entry changed.,5,2,2,0
safesoc-lnx-01,100780,SafeAgentSOC simulated-only high-risk gap started,8,2,2,0
safesoc-lnx-01,100781,SafeAgentSOC simulated-only high-risk gap completed,8,2,2,0
safesoc-wazuh-01,19004,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (47),7,2,2,0
safesoc-win-01,19007,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Allow data recovery agent' is set to 'Enabled: False'.,7,2,2,0
safesoc-win-01,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow Basic authentication' is set to 'Disabled'.,3,2,2,0
safesoc-win-01,19008,CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Ensure 'Allow unencrypted traffic' is set to 'Disabled'.,3,2,2,0
safesoc-win-01,19005,SCA summary: CIS Microsoft Windows 11 Enterprise Benchmark v3.0.0: Score less than 30% (26),9,2,2,0
safesoc-win-01,60602,Windows application error event.,9,2,2,0
safesoc-lnx-01,2903,Dpkg (Debian Package) removed.,7,1,0,1
safesoc-lnx-01,19010,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all AppArmor Profiles are in enforce or complain mode.: Status changed from failed to passed,3,1,0,1
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd access is configured.: Status changed from 'not applicable' to failed,9,1,0,1
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd Banner is configured.: Status changed from 'not applicable' to failed,9,1,0,1
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd Ciphers are configured.: Status changed from 'not applicable' to passed,3,1,0,1
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured.: Status changed from 'not applicable' to failed,9,1,0,1
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd DisableForwarding is enabled.: Status changed from 'not applicable' to failed,9,1,0,1
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd GSSAPIAuthentication is disabled.: Status changed from 'not applicable' to passed,3,1,0,1
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd HostbasedAuthentication is disabled.: Status changed from 'not applicable' to passed,3,1,0,1
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd IgnoreRhosts is enabled.: Status changed from 'not applicable' to passed,3,1,0,1
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd KexAlgorithms is configured.: Status changed from 'not applicable' to passed,3,1,0,1
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd LoginGraceTime is configured.: Status changed from 'not applicable' to failed,9,1,0,1
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd LogLevel is configured.: Status changed from 'not applicable' to passed,3,1,1,0
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd MACs are configured.: Status changed from 'not applicable' to failed,9,1,1,0
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd MaxAuthTries is configured.: Status changed from 'not applicable' to failed,9,1,1,0
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd MaxSessions is configured.: Status changed from 'not applicable' to passed,3,1,1,0
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd MaxStartups is configured.: Status changed from 'not applicable' to failed,9,1,1,0
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd PermitEmptyPasswords is disabled.: Status changed from 'not applicable' to passed,3,1,1,0
safesoc-lnx-01,19014,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd PermitRootLogin is disabled.: Status changed from 'not applicable' to failed,9,1,1,0
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd PermitUserEnvironment is disabled.: Status changed from 'not applicable' to passed,3,1,1,0
safesoc-lnx-01,19015,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure sshd UsePAM is enabled.: Status changed from 'not applicable' to passed,3,1,1,0
safesoc-lnx-01,19004,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (48),7,1,0,1
safesoc-lnx-01,23504,CVE-2024-52616 affects avahi-daemon,7,1,0,1
safesoc-lnx-01,23504,CVE-2024-52615 affects avahi-daemon,7,1,0,1
safesoc-lnx-01,23504,CVE-2026-34933 affects avahi-daemon,7,1,0,1
safesoc-lnx-01,23504,CVE-2026-24401 affects avahi-daemon,7,1,0,1
safesoc-lnx-01,23504,CVE-2025-59529 affects avahi-daemon,7,1,0,1
safesoc-lnx-01,23504,CVE-2026-27456 affects bsdextrautils,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects bsdutils,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-bsd,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-client,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-common,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-core-drivers,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-daemon,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-ipp-utils,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-ppdc,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects cups-server-common,7,1,1,0
safesoc-lnx-01,23503,CVE-2025-12199 affects dnsmasq-base,5,1,0,1
safesoc-lnx-01,23503,CVE-2025-12200 affects dnsmasq-base,5,1,0,1
safesoc-lnx-01,23505,CVE-2025-12198 affects dnsmasq-base,10,1,0,1
safesoc-lnx-01,23504,CVE-2026-27456 affects eject,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects fdisk,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects gir1.2-javascriptcoregtk-4.1,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects gir1.2-javascriptcoregtk-6.0,7,1,1,0
safesoc-lnx-01,23503,CVE-2022-0987 affects gir1.2-packagekitglib-1.0,5,1,0,1
safesoc-lnx-01,23503,CVE-2024-0217 affects gir1.2-packagekitglib-1.0,5,1,0,1
safesoc-lnx-01,23505,CVE-2016-2568 affects gir1.2-polkit-1.0,10,1,0,1
safesoc-lnx-01,23504,CVE-2025-9901 affects gir1.2-soup-3.0,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-4035 affects gir1.2-soup-3.0,7,1,1,0
safesoc-lnx-01,23505,CVE-2025-14523 affects gir1.2-soup-3.0,10,1,0,1
safesoc-lnx-01,23504,CVE-2026-0716 affects gir1.2-soup-3.0,7,1,1,0
safesoc-lnx-01,23503,CVE-2026-3633 affects gir1.2-soup-3.0,5,1,0,1
safesoc-lnx-01,23503,CVE-2026-3632 affects gir1.2-soup-3.0,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3634 affects gir1.2-soup-3.0,5,1,1,0
safesoc-lnx-01,23505,CVE-2025-32049 affects gir1.2-soup-3.0,10,1,0,1
safesoc-lnx-01,23504,CVE-2026-3099 affects gir1.2-soup-3.0,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-0719 affects gir1.2-soup-3.0,10,1,0,1
safesoc-lnx-01,23504,CVE-2025-66286 affects gir1.2-webkit-6.0,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects gir1.2-webkit2-4.1,7,1,1,0
safesoc-lnx-01,23503,CVE-2022-0987 affects gstreamer1.0-packagekit,5,1,1,0
safesoc-lnx-01,23503,CVE-2024-0217 affects gstreamer1.0-packagekit,5,1,1,0
safesoc-lnx-01,23505,CVE-2026-28372 affects inetutils-telnet,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-4426 affects libarchive13t64,7,1,1,0
safesoc-lnx-01,23506,CVE-2026-5121 affects libarchive13t64,13,1,0,1
safesoc-lnx-01,23504,CVE-2026-5745 affects libarchive13t64,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-4424 affects libarchive13t64,10,1,1,0
safesoc-lnx-01,23504,CVE-2024-52616 affects libavahi-client3,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52615 affects libavahi-client3,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-34933 affects libavahi-client3,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-24401 affects libavahi-client3,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-59529 affects libavahi-client3,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52616 affects libavahi-common-data,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52615 affects libavahi-common-data,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-34933 affects libavahi-common-data,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-24401 affects libavahi-common-data,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-59529 affects libavahi-common-data,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52616 affects libavahi-common3,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52615 affects libavahi-common3,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-34933 affects libavahi-common3,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-24401 affects libavahi-common3,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-59529 affects libavahi-common3,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52616 affects libavahi-core7,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52615 affects libavahi-core7,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-34933 affects libavahi-core7,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-24401 affects libavahi-core7,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-59529 affects libavahi-core7,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52616 affects libavahi-glib1,7,1,1,0
safesoc-lnx-01,23504,CVE-2024-52615 affects libavahi-glib1,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-34933 affects libavahi-glib1,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-24401 affects libavahi-glib1,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-59529 affects libavahi-glib1,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects libblkid1,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-4046 affects libc-bin,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-4437 affects libc-bin,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-4438 affects libc-bin,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-4046 affects libc6,10,1,1,0
safesoc-lnx-01,23505,CVE-2026-4437 affects libc6,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-4438 affects libc6,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects libcups2t64,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-41079 affects libcupsimage2t64,7,1,1,0
safesoc-lnx-01,23504,CVE-2020-18773 affects libexiv2-27,7,1,1,0
safesoc-lnx-01,23504,CVE-2020-18774 affects libexiv2-27,7,1,1,0
safesoc-lnx-01,23503,CVE-2025-66382 affects libexpat1,5,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects libfdisk1,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27951 affects libfreerdp-server3-3,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27951 affects libfreerdp3-3,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects libjavascriptcoregtk-4.1-0,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-66286 affects libjavascriptcoregtk-6.0-1,7,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects libmount1,7,1,1,0
safesoc-lnx-01,23504,CVE-2019-6988 affects libopenjp2-7,7,1,1,0
safesoc-lnx-01,23504,CVE-2023-39328 affects libopenjp2-7,7,1,1,0
safesoc-lnx-01,23504,CVE-2023-39329 affects libopenjp2-7,7,1,1,0
safesoc-lnx-01,23503,CVE-2022-0987 affects libpackagekit-glib2-18,5,1,1,0
safesoc-lnx-01,23503,CVE-2024-0217 affects libpackagekit-glib2-18,5,1,1,0
safesoc-lnx-01,23505,CVE-2016-2568 affects libpolkit-agent-1-0,10,1,1,0
safesoc-lnx-01,23505,CVE-2016-2568 affects libpolkit-gobject-1-0,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9543 affects libpoppler-cpp0t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9545 affects libpoppler-cpp0t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9543 affects libpoppler-glib8t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9545 affects libpoppler-glib8t64,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9543 affects libpoppler134,10,1,1,0
safesoc-lnx-01,23505,CVE-2019-9545 affects libpoppler134,10,1,1,0
safesoc-lnx-01,23508,"CVE-2026-6409 affects libprotobuf32t64 (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2025-13462 affects libpython3.12-minimal (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2026-2297 affects libpython3.12-minimal (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2025-13462 affects libpython3.12-stdlib (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2026-2297 affects libpython3.12-stdlib (Missing information, CVE awaiting analysis)",3,1,0,1
safesoc-lnx-01,23508,"CVE-2025-13462 affects libpython3.12t64 (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23508,"CVE-2026-2297 affects libpython3.12t64 (Missing information, CVE awaiting analysis)",3,1,1,0
safesoc-lnx-01,23504,CVE-2026-27456 affects libsmartcols1,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-9901 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-4035 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23505,CVE-2025-14523 affects libsoup-3.0-0,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-0716 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23503,CVE-2026-3633 affects libsoup-3.0-0,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3632 affects libsoup-3.0-0,5,1,1,0
safesoc-lnx-01,23503,CVE-2026-3634 affects libsoup-3.0-0,5,1,1,0
safesoc-lnx-01,23505,CVE-2025-32049 affects libsoup-3.0-0,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-3099 affects libsoup-3.0-0,7,1,1,0
safesoc-lnx-01,23505,CVE-2026-0719 affects libsoup-3.0-0,10,1,1,0
safesoc-lnx-01,23504,CVE-2025-9901 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23504,CVE-2025-4035 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23505,CVE-2025-14523 affects libsoup-3.0-common,10,1,1,0
safesoc-lnx-01,23504,CVE-2026-0716 affects libsoup-3.0-common,7,1,1,0
safesoc-lnx-01,23503,CVE-2026-3633 affects libsoup-3.0-common,5,1,1,0
