label_id,phase2_alert_uid,case_id,run_id,campaign_id,scenario_id,agent_name,label_timestamp,label_timestamp_utc,rule_id,rule_description,label,event_role,execution_mode,tool,mitre_technique_id,confidence,match_status,match_method,candidate_count,primary_phase3_alert_uid,primary_evidence_id,candidate_phase3_alert_uids,candidate_evidence_ids,candidate_raw_line_numbers
LBL-000001,ALERT-939476A8BF516E30,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,2026-05-15T03:41:36.705000+00:00,5402,Successful sudo to ROOT executed.,attack_like,trigger,caldera,MITRE Caldera,T1548.003,high,matched,agent_source_timestamp_rule_description,1,alert_6154552463c51101b90bbcf30b46f8c4,evidence_bb0f470c6d17f031b0334b3d503a3f47,alert_6154552463c51101b90bbcf30b46f8c4,evidence_bb0f470c6d17f031b0334b3d503a3f47,5603
LBL-000002,ALERT-5B982204218E8B15,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:36.705-0400,2026-05-15T03:41:36.705000+00:00,5501,PAM: Login session opened.,attack_like,trigger,caldera,MITRE Caldera,T1078,high,matched,agent_source_timestamp_rule_description,1,alert_d70d2216e6946a7b384d63ba4998bcaf,evidence_cd428158e4e0a2711b8aacc24a352e6d,alert_d70d2216e6946a7b384d63ba4998bcaf,evidence_cd428158e4e0a2711b8aacc24a352e6d,5604
LBL-000003,ALERT-50CAAC0A95F045B8,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:37.307-0400,2026-05-15T03:41:37.307000+00:00,5402,Successful sudo to ROOT executed.,attack_like,supporting,caldera,MITRE Caldera,T1548.003,medium,matched,agent_source_timestamp_rule_description,1,alert_c2cc910e3ee66eb7b417f0332048a807,evidence_f1e678aaa95d6a86baef270a627fc18e,alert_c2cc910e3ee66eb7b417f0332048a807,evidence_f1e678aaa95d6a86baef270a627fc18e,5605
LBL-000004,ALERT-1CD67E9F7F441169,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:37.307-0400,2026-05-15T03:41:37.307000+00:00,5501,PAM: Login session opened.,attack_like,supporting,caldera,MITRE Caldera,T1078,medium,matched,agent_source_timestamp_rule_description,1,alert_5a7a1b0c0c585b6aa55ee8fdef2593d0,evidence_94f6db0f85f623405ab0985c077460c5,alert_5a7a1b0c0c585b6aa55ee8fdef2593d0,evidence_94f6db0f85f623405ab0985c077460c5,5606
LBL-000005,ALERT-3C139C9EA59D6AA5,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:37.311-0400,2026-05-15T03:41:37.311000+00:00,2901,New dpkg (Debian Package) requested to install.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,1,alert_cd0e6f6c65fde6722329ded4854169ba,evidence_93f45af705cb88bc233bf8076fbaacea,alert_cd0e6f6c65fde6722329ded4854169ba,evidence_93f45af705cb88bc233bf8076fbaacea,5607
LBL-000006,ALERT-F448F208283FD85E,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:37.328-0400,2026-05-15T03:41:37.328000+00:00,2904,Dpkg (Debian Package) half configured.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,1,alert_0567bf745802a2829deaddb9b0695713,evidence_8bce7caf4e5be01882d4e0d1f0c57376,alert_0567bf745802a2829deaddb9b0695713,evidence_8bce7caf4e5be01882d4e0d1f0c57376,5608
LBL-000007,ALERT-431ECCF4A088C9AB,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:37.330-0400,2026-05-15T03:41:37.330000+00:00,2902,New dpkg (Debian Package) installed.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,1,alert_ae6608b9e2c22fb748d6201b5d4be3be,evidence_cbbb7ce42782cf955c5c0710727c6da6,alert_ae6608b9e2c22fb748d6201b5d4be3be,evidence_cbbb7ce42782cf955c5c0710727c6da6,5609
LBL-000008,ALERT-CE4A13BE778D3E2D,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:37.335-0400,2026-05-15T03:41:37.335000+00:00,2904,Dpkg (Debian Package) half configured.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,1,alert_4017c33d02fbf1db35548b824622f880,evidence_4c76669020c94b817d037ee9da13d43f,alert_4017c33d02fbf1db35548b824622f880,evidence_4c76669020c94b817d037ee9da13d43f,5610
LBL-000009,ALERT-BD031D2CEEC3BA5C,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:38.707-0400,2026-05-15T03:41:38.707000+00:00,2902,New dpkg (Debian Package) installed.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,1,alert_bf2146789d173a6102e330b7587e61b4,evidence_24df8a16776b181da5fb2c91e8f44b32,alert_bf2146789d173a6102e330b7587e61b4,evidence_24df8a16776b181da5fb2c91e8f44b32,5611
LBL-000010,ALERT-A57B1C491294A5AE,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:39.323-0400,2026-05-15T03:41:39.323000+00:00,5502,PAM: Login session closed.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,2,alert_f0cb9b19cbbf4864af8a099dbc956562,evidence_a2f5c2a3c5f9c91919de73b43885e76a,alert_f0cb9b19cbbf4864af8a099dbc956562;alert_2540aea2d731e54815f2a0c8ce40f6d5,evidence_a2f5c2a3c5f9c91919de73b43885e76a;evidence_9fe58774da2bfa4d0870b952a709e73b,5612;5613
LBL-000011,ALERT-5410A591ADDD1117,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:41:39.323-0400,2026-05-15T03:41:39.323000+00:00,5502,PAM: Login session closed.,attack_like,supporting,caldera,MITRE Caldera,T1110.001/T1548.003/T1082/T1033/T1016/T1053.003,medium,matched,agent_source_timestamp_rule_description,2,alert_f0cb9b19cbbf4864af8a099dbc956562,evidence_a2f5c2a3c5f9c91919de73b43885e76a,alert_f0cb9b19cbbf4864af8a099dbc956562;alert_2540aea2d731e54815f2a0c8ce40f6d5,evidence_a2f5c2a3c5f9c91919de73b43885e76a;evidence_9fe58774da2bfa4d0870b952a709e73b,5612;5613
LBL-000012,ALERT-E4376BADD32B886D,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:42:38.724-0400,2026-05-15T03:42:38.724000+00:00,5501,PAM: Login session opened.,attack_like,supporting,caldera,MITRE Caldera,T1078,medium,matched,agent_source_timestamp_rule_description,1,alert_06db4c810b3569c27db965ed32d8846e,evidence_a1643623d1aef09e70f0d9fd03ea5c27,alert_06db4c810b3569c27db965ed32d8846e,evidence_a1643623d1aef09e70f0d9fd03ea5c27,5614
LBL-000013,ALERT-FC2C44F58A9115F4,CASE-001,C-LNX-01-CAL-R001,C-LNX-01,,safesoc-lnx-01,2026-05-14T23:42:39.324-0400,2026-05-15T03:42:39.324000+00:00,5501,PAM: Login session opened.,attack_like,supporting,caldera,MITRE Caldera,T1078,medium,matched,agent_source_timestamp_rule_description,1,alert_da6c986cd9e7e30c8f13d2481dcac1ec,evidence_b6754dc371e2f89c9951d8172ab16d96,alert_da6c986cd9e7e30c8f13d2481dcac1ec,evidence_b6754dc371e2f89c9951d8172ab16d96,5615
LBL-000014,ALERT-561FB6D199940F1C,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:12:25.208-0400,2026-05-15T04:12:25.208000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,trigger,caldera,MITRE Caldera,T1057,high,matched,agent_source_timestamp_rule_description,2,alert_4ff7f5184d936730a1989f1bd07d7bbe,evidence_dbd5764081245f9ee78699aa56f9dff6,alert_4ff7f5184d936730a1989f1bd07d7bbe;alert_aef6bbbcfff23b82abbc57829872dba5,evidence_dbd5764081245f9ee78699aa56f9dff6;evidence_ab3844cf8642ae4e10690066ea52599e,6;113
LBL-000015,ALERT-D33329D0398DE5E9,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:13:37.238-0400,2026-05-15T04:13:37.238000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,trigger,caldera,MITRE Caldera,T1057,high,matched,agent_source_timestamp_rule_description,2,alert_e2ef466d6bf13950e4fa2058945581fd,evidence_8f6190f4398f94d4474cd133497d9907,alert_e2ef466d6bf13950e4fa2058945581fd;alert_b90ff27a986a8d1b9dc96797e81448d4,evidence_8f6190f4398f94d4474cd133497d9907;evidence_0b0dda9c0c27882d0ccd4f935710fd13,7;114
LBL-000016,ALERT-319CCDE655311608,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:14:35.246-0400,2026-05-15T04:14:35.246000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,supporting,caldera,MITRE Caldera,T1057,medium,matched,agent_source_timestamp_rule_description,2,alert_75cf829888385297bd60fc9d4a464ee3,evidence_773c9036efe3253e2e9bf7dd520ca79a,alert_75cf829888385297bd60fc9d4a464ee3;alert_d5b5e0a0d4fa0095394859878223446f,evidence_773c9036efe3253e2e9bf7dd520ca79a;evidence_e59588a5ef564498952a945046210981,8;115
LBL-000017,ALERT-4E48943D1FB4B605,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:15:35.267-0400,2026-05-15T04:15:35.267000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,supporting,caldera,MITRE Caldera,T1057,medium,matched,agent_source_timestamp_rule_description,2,alert_ad2fa4f597d53eea70e427da6820eda4,evidence_ff782abe85a42a91245c4083b8301e4f,alert_ad2fa4f597d53eea70e427da6820eda4;alert_b471e380772ea83c9dbdfe8ff7cc5922,evidence_ff782abe85a42a91245c4083b8301e4f;evidence_b2340ae7a095e0e0ff631f1893790779,9;116
LBL-000018,ALERT-A1220A2648FB0DAA,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:16:43.322-0400,2026-05-15T04:16:43.322000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,supporting,caldera,MITRE Caldera,T1057,medium,matched,agent_source_timestamp_rule_description,2,alert_50351c786fe82db569b72f2d3445d664,evidence_397a267b5aef86a9a41b99289f7082bf,alert_50351c786fe82db569b72f2d3445d664;alert_23fac5cc155be36065ebd67ae5f8bc04,evidence_397a267b5aef86a9a41b99289f7082bf;evidence_cb173c49cbd6de79ea1a2f5362d84a83,10;117
LBL-000019,ALERT-A591C7557ECCEB16,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:17:47.297-0400,2026-05-15T04:17:47.297000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,supporting,caldera,MITRE Caldera,T1057,medium,matched,agent_source_timestamp_rule_description,2,alert_33c770638750ab5e018d7d55e4176482,evidence_37a5df63a09e9ec5fa0c11b17dd0fcc3,alert_33c770638750ab5e018d7d55e4176482;alert_2599624a07a1ccc0a8564d342e20c9c4,evidence_37a5df63a09e9ec5fa0c11b17dd0fcc3;evidence_ec57eb447860e1d8c4de644038fc81e5,11;118
LBL-000020,ALERT-8886D78D94AD800D,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:18:55.313-0400,2026-05-15T04:18:55.313000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,supporting,caldera,MITRE Caldera,T1057,medium,matched,agent_source_timestamp_rule_description,2,alert_d5ea6b838bdebc86b0c373ea1250a521,evidence_85c7b59f6088f5ced875bacd1113e5e5,alert_d5ea6b838bdebc86b0c373ea1250a521;alert_af59056d053e748bd5eab8790936aedc,evidence_85c7b59f6088f5ced875bacd1113e5e5;evidence_6b4bb39c3a4180b52deb0562f0ca377e,12;119
LBL-000021,ALERT-56E5215B1774D9BD,CASE-041,C-LNX-01-CAL-R002,C-LNX-01,,safesoc-lnx-01,2026-05-15T00:19:55.349-0400,2026-05-15T04:19:55.349000+00:00,92604,Processes running for all users were queried with ps command.,attack_like,supporting,caldera,MITRE Caldera,T1057,medium,matched,agent_source_timestamp_rule_description,2,alert_140da7a43a96707cb9a3e22982a30ee9,evidence_ef58181dcc6758cbc2d820c443a0c9a2,alert_140da7a43a96707cb9a3e22982a30ee9;alert_06f6981dc00c329728d0d26584cf6dc8,evidence_ef58181dcc6758cbc2d820c443a0c9a2;evidence_92e0b25c961959083efc68e1a98a8313,13;120
