case_id,case_run_id,case_campaign_id,case_execution_mode,case_tool,label_id,phase2_alert_uid,phase3_alert_uid,evidence_id,raw_line_number,label,event_role,event_time_utc,source_time_raw,normalized_agent_name,normalized_rule_id,normalized_rule_description,event_category,event_action,event_outcome,normalized_severity,mitre_technique_ids,normalization_status,link_source,match_rank,candidate_count,is_primary_candidate,case_summary,analyst_expected_conclusion
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000001,ALERT-939476A8BF516E30,alert_6154552463c51101b90bbcf30b46f8c4,evidence_bb0f470c6d17f031b0334b3d503a3f47,5603,attack_like,trigger,2026-05-15T03:41:36.705000+00:00,2026-05-14T23:41:36.705-0400,safesoc-lnx-01,5402,Successful sudo to ROOT executed.,privilege_activity,sudo_success,success,low,T1548.003,success,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000002,ALERT-5B982204218E8B15,alert_d70d2216e6946a7b384d63ba4998bcaf,evidence_cd428158e4e0a2711b8aacc24a352e6d,5604,attack_like,trigger,2026-05-15T03:41:36.705000+00:00,2026-05-14T23:41:36.705-0400,safesoc-lnx-01,5501,PAM: Login session opened.,authentication,login_session_opened,success,low,T1078,success,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000003,ALERT-50CAAC0A95F045B8,alert_c2cc910e3ee66eb7b417f0332048a807,evidence_f1e678aaa95d6a86baef270a627fc18e,5605,attack_like,supporting,2026-05-15T03:41:37.307000+00:00,2026-05-14T23:41:37.307-0400,safesoc-lnx-01,5402,Successful sudo to ROOT executed.,privilege_activity,sudo_success,success,low,T1548.003,success,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000004,ALERT-1CD67E9F7F441169,alert_5a7a1b0c0c585b6aa55ee8fdef2593d0,evidence_94f6db0f85f623405ab0985c077460c5,5606,attack_like,supporting,2026-05-15T03:41:37.307000+00:00,2026-05-14T23:41:37.307-0400,safesoc-lnx-01,5501,PAM: Login session opened.,authentication,login_session_opened,success,low,T1078,success,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000005,ALERT-3C139C9EA59D6AA5,alert_cd0e6f6c65fde6722329ded4854169ba,evidence_93f45af705cb88bc233bf8076fbaacea,5607,attack_like,supporting,2026-05-15T03:41:37.311000+00:00,2026-05-14T23:41:37.311-0400,safesoc-lnx-01,2901,New dpkg (Debian Package) requested to install.,system_activity,package_activity,unknown,low,,partial,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000006,ALERT-F448F208283FD85E,alert_0567bf745802a2829deaddb9b0695713,evidence_8bce7caf4e5be01882d4e0d1f0c57376,5608,attack_like,supporting,2026-05-15T03:41:37.328000+00:00,2026-05-14T23:41:37.328-0400,safesoc-lnx-01,2904,Dpkg (Debian Package) half configured.,system_activity,package_activity,unknown,medium,,partial,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000007,ALERT-431ECCF4A088C9AB,alert_ae6608b9e2c22fb748d6201b5d4be3be,evidence_cbbb7ce42782cf955c5c0710727c6da6,5609,attack_like,supporting,2026-05-15T03:41:37.330000+00:00,2026-05-14T23:41:37.330-0400,safesoc-lnx-01,2902,New dpkg (Debian Package) installed.,system_activity,package_activity,success,medium,,partial,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000008,ALERT-CE4A13BE778D3E2D,alert_4017c33d02fbf1db35548b824622f880,evidence_4c76669020c94b817d037ee9da13d43f,5610,attack_like,supporting,2026-05-15T03:41:37.335000+00:00,2026-05-14T23:41:37.335-0400,safesoc-lnx-01,2904,Dpkg (Debian Package) half configured.,system_activity,package_activity,unknown,medium,,partial,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000009,ALERT-BD031D2CEEC3BA5C,alert_bf2146789d173a6102e330b7587e61b4,evidence_24df8a16776b181da5fb2c91e8f44b32,5611,attack_like,supporting,2026-05-15T03:41:38.707000+00:00,2026-05-14T23:41:38.707-0400,safesoc-lnx-01,2902,New dpkg (Debian Package) installed.,system_activity,package_activity,success,medium,,partial,ground_truth_label_match,1,1,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
CASE-001,C-LNX-01-CAL-R001,C-LNX-01,caldera,MITRE Caldera,LBL-000010,ALERT-A57B1C491294A5AE,alert_f0cb9b19cbbf4864af8a099dbc956562,evidence_a2f5c2a3c5f9c91919de73b43885e76a,5612,attack_like,supporting,2026-05-15T03:41:39.323000+00:00,2026-05-14T23:41:39.323-0400,safesoc-lnx-01,5502,PAM: Login session closed.,authentication,login_session_closed,success,low,,partial,ground_truth_label_match,1,2,True,"Run-level investigation case for C-LNX-01-CAL-R001, containing 13 correlated labeled alerts across 6 Wazuh rule IDs.","Analyst should conclude controlled attack-like activity occurred. Prioritize trigger alerts, then use supporting alerts for context. Duplicate and unrelated alerts are candidates for compression."
