warning_id,alert_uid,raw_reference_id,warning_type,field_path,warning_message,created_at_utc
warning_ad89514d4bced2121123b5a2198df42c,alert_77427513d644307cced04c1c0565ed30,evidence_fc2ab379dd38aab4b2ad1cd1129d3003,missing_mitre,rule.mitre,Wazuh rule has no MITRE mapping.,2026-05-16T03:00:31+00:00
warning_a46ffb351e065eea4a60ff979e16940e,alert_77427513d644307cced04c1c0565ed30,evidence_fc2ab379dd38aab4b2ad1cd1129d3003,unmapped_category,rule.description,Event category could not be confidently mapped.,2026-05-16T03:00:31+00:00
warning_6cf78976e51198a2a9ff69ef6b079f55,alert_ec1ad3b9ff38f7fd4b751e6328760e8f,evidence_9a801360797c974e44773305b67f2f51,missing_field,agent.ip,Wazuh alert has no agent IP.,2026-05-16T03:00:31+00:00
warning_4b5d3f9747bb641c95209dabced3dfa0,alert_ec1ad3b9ff38f7fd4b751e6328760e8f,evidence_9a801360797c974e44773305b67f2f51,missing_mitre,rule.mitre,Wazuh rule has no MITRE mapping.,2026-05-16T03:00:31+00:00
warning_7256260860c82ee59d97feaee632f5de,alert_3cb183b31d0aca74455ef95e7173f1c9,evidence_1d45e559ad471e521a7814123b054c6b,missing_field,agent.ip,Wazuh alert has no agent IP.,2026-05-16T03:00:31+00:00
warning_b5fae97407d11a5f50bf1dd09f92d71f,alert_3cb183b31d0aca74455ef95e7173f1c9,evidence_1d45e559ad471e521a7814123b054c6b,missing_mitre,rule.mitre,Wazuh rule has no MITRE mapping.,2026-05-16T03:00:31+00:00
warning_f12d0d9581f8bcab30689ce2d5541da8,alert_6266405ebde7b62cda0636df278c0de5,evidence_0db75bb8cda0256c12fe6f65b69845e5,missing_field,agent.ip,Wazuh alert has no agent IP.,2026-05-16T03:00:31+00:00
warning_581a66859e9ff04b3ecee8184410c81d,alert_6266405ebde7b62cda0636df278c0de5,evidence_0db75bb8cda0256c12fe6f65b69845e5,missing_mitre,rule.mitre,Wazuh rule has no MITRE mapping.,2026-05-16T03:00:31+00:00
warning_3d8e0c4df6f59a1695fd9c8cc96caed1,alert_6266405ebde7b62cda0636df278c0de5,evidence_0db75bb8cda0256c12fe6f65b69845e5,partial_metadata,host.platform,Host platform could not be inferred.,2026-05-16T03:00:31+00:00
warning_d4377eada76967368b3310379ef36932,alert_a9d9cac8a7662d85906ec5545db364ae,evidence_8ac094cea81f2abf542895e34bcbc967,missing_field,agent.ip,Wazuh alert has no agent IP.,2026-05-16T03:00:31+00:00
