decoder_name,alert_count,alert_percent
json,2842,41.23
dpkg-decoder,1155,16.76
sca,1099,15.94
windows_eventchannel,488,7.08
syscheck_integrity_changed,481,6.98
pam,306,4.44
sudo,130,1.89
auditd,106,1.54
unknown,64,0.93
syscheck_new_entry,52,0.75
sshd,37,0.54
ossec,32,0.46
syscheck_registry_key_modified,25,0.36
kernel,24,0.35
syscheck_registry_value_modified,22,0.32
syscheck_deleted,15,0.22
syscheck_registry_value_added,6,0.09
useradd,4,0.06
syscheck_registry_key_added,3,0.04
systemd,1,0.01
groupadd,1,0.01
