field,present_count,present_percent,missing_count,missing_percent
timestamp,6893,100.00,0,0.00
rule.level,6893,100.00,0,0.00
rule.description,6893,100.00,0,0.00
rule.id,6893,100.00,0,0.00
rule.firedtimes,6893,100.00,0,0.00
rule.mail,6893,100.00,0,0.00
rule.groups,6893,100.00,0,0.00
rule.groups[],6893,100.00,0,0.00
agent.id,6893,100.00,0,0.00
agent.name,6893,100.00,0,0.00
manager.name,6893,100.00,0,0.00
id,6893,100.00,0,0.00
location,6893,100.00,0,0.00
decoder.name,6829,99.07,64,0.93
agent.ip,6375,92.49,518,7.51
rule.gdpr,6259,90.80,634,9.20
rule.gdpr[],6259,90.80,634,9.20
rule.pci_dss,6255,90.74,638,9.26
rule.pci_dss[],6255,90.74,638,9.26
rule.tsc,6255,90.74,638,9.26
rule.tsc[],6255,90.74,638,9.26
rule.nist_800_53,3413,49.51,3480,50.49
rule.nist_800_53[],3413,49.51,3480,50.49
data.vulnerability.classification,2842,41.23,4051,58.77
data.vulnerability.cve,2842,41.23,4051,58.77
data.vulnerability.enumeration,2842,41.23,4051,58.77
data.vulnerability.package.architecture,2842,41.23,4051,58.77
data.vulnerability.package.name,2842,41.23,4051,58.77
data.vulnerability.package.version,2842,41.23,4051,58.77
data.vulnerability.published,2842,41.23,4051,58.77
data.vulnerability.reference,2842,41.23,4051,58.77
data.vulnerability.scanner.reference,2842,41.23,4051,58.77
data.vulnerability.score.base,2842,41.23,4051,58.77
data.vulnerability.score.version,2842,41.23,4051,58.77
data.vulnerability.severity,2842,41.23,4051,58.77
data.vulnerability.status,2842,41.23,4051,58.77
data.vulnerability.title,2842,41.23,4051,58.77
data.vulnerability.type,2842,41.23,4051,58.77
data.vulnerability.updated,2842,41.23,4051,58.77
rule.hipaa,2619,38.00,4274,62.00
rule.hipaa[],2619,38.00,4274,62.00
data.vulnerability.cvss.cvss3.base_score,2479,35.96,4414,64.04
full_log,2465,35.76,4428,64.24
rule.gpg13,2293,33.27,4600,66.73
rule.gpg13[],2293,33.27,4600,66.73
data.vulnerability.assigner,1442,20.92,5451,79.08
data.vulnerability.package.condition,1442,20.92,5451,79.08
data.vulnerability.package.source,1442,20.92,5451,79.08
data.vulnerability.rationale,1442,20.92,5451,79.08
rule.mitre.id,1438,20.86,5455,79.14
rule.mitre.id[],1438,20.86,5455,79.14
rule.mitre.tactic,1438,20.86,5455,79.14
rule.mitre.tactic[],1438,20.86,5455,79.14
rule.mitre.technique,1438,20.86,5455,79.14
rule.mitre.technique[],1438,20.86,5455,79.14
data.vulnerability.cvss.cvss3.vector.attack_vector,1160,16.83,5733,83.17
data.vulnerability.cvss.cvss3.vector.availability,1160,16.83,5733,83.17
data.vulnerability.cvss.cvss3.vector.confidentiality_impact,1160,16.83,5733,83.17
data.vulnerability.cvss.cvss3.vector.integrity_impact,1160,16.83,5733,83.17
data.vulnerability.cvss.cvss3.vector.privileges_required,1160,16.83,5733,83.17
data.vulnerability.cvss.cvss3.vector.scope,1160,16.83,5733,83.17
data.vulnerability.cvss.cvss3.vector.user_interaction,1160,16.83,5733,83.17
data.dpkg_status,1155,16.76,5738,83.24
data.package,1155,16.76,5738,83.24
data.arch,1155,16.76,5738,83.24
data.version,1155,16.76,5738,83.24
data.sca.type,1099,15.94,5794,84.06
data.sca.scan_id,1099,15.94,5794,84.06
data.sca.policy,1099,15.94,5794,84.06
rule.cis,1092,15.84,5801,84.16
rule.cis[],1092,15.84,5801,84.16
data.sca.check.id,1092,15.84,5801,84.16
data.sca.check.title,1092,15.84,5801,84.16
data.sca.check.description,1092,15.84,5801,84.16
data.sca.check.rationale,1092,15.84,5801,84.16
data.sca.check.remediation,1092,15.84,5801,84.16
data.sca.check.compliance.cis,1092,15.84,5801,84.16
data.sca.check.result,1092,15.84,5801,84.16
rule.cis_csc_v7,931,13.51,5962,86.49
rule.cis_csc_v7[],931,13.51,5962,86.49
data.sca.check.compliance.cis_csc_v7,931,13.51,5962,86.49
rule.cis_csc_v8,914,13.26,5979,86.74
rule.cis_csc_v8[],914,13.26,5979,86.74
data.sca.check.compliance.cis_csc_v8,914,13.26,5979,86.74
rule.iso_27001-2013,864,12.53,6029,87.47
rule.iso_27001-2013[],864,12.53,6029,87.47
data.sca.check.compliance.iso_27001-2013,864,12.53,6029,87.47
