field,type,count,percent
agent.id,string,6893,100.00
agent.ip,string,6375,92.49
agent.name,string,6893,100.00
data.arch,string,1155,16.76
data.audit.arch,string,67,0.97
data.audit.auid,string,70,1.02
data.audit.command,string,70,1.02
data.audit.cwd,string,101,1.47
data.audit.directory.name,string,3,0.04
data.audit.egid,string,67,0.97
data.audit.euid,string,70,1.02
data.audit.exe,string,70,1.02
data.audit.execve.a0,string,103,1.49
data.audit.execve.a1,string,103,1.49
data.audit.execve.a2,string,1,0.01
data.audit.execve.argc,string,103,1.49
data.audit.exit,string,67,0.97
data.audit.file.inode,string,99,1.44
data.audit.file.mode,string,99,1.44
data.audit.file.name,string,99,1.44
data.audit.fsgid,string,67,0.97
data.audit.fsuid,string,67,0.97
data.audit.gid,string,70,1.02
data.audit.id,string,106,1.54
data.audit.inode,string,2,0.03
data.audit.key,string,67,0.97
data.audit.mode,string,2,0.03
data.audit.pid,string,70,1.02
data.audit.ppid,string,67,0.97
data.audit.session,string,70,1.02
data.audit.sgid,string,67,0.97
data.audit.success,string,67,0.97
data.audit.suid,string,67,0.97
data.audit.syscall,string,67,0.97
data.audit.tty,string,67,0.97
data.audit.type,string,106,1.54
data.audit.uid,string,70,1.02
data.command,string,130,1.89
data.dpkg_status,string,1155,16.76
data.dstuser,string,455,6.60
data.euid,string,16,0.23
data.extra_data,string,41,0.59
data.gid,string,5,0.07
data.home,string,4,0.06
data.logname,string,7,0.10
data.package,string,1155,16.76
data.pwd,string,130,1.89
data.sca.check.command,array,481,6.98
data.sca.check.command[],string,481,6.98
data.sca.check.compliance.cis,string,1092,15.84
data.sca.check.compliance.cis_csc_v7,string,931,13.51
data.sca.check.compliance.cis_csc_v8,string,914,13.26
data.sca.check.compliance.cmmc_v2.0,string,846,12.27
data.sca.check.compliance.hipaa,string,305,4.42
data.sca.check.compliance.iso_27001-2013,string,864,12.53
data.sca.check.compliance.mitre_mitigations,string,542,7.86
data.sca.check.compliance.mitre_tactics,string,585,8.49
data.sca.check.compliance.mitre_techniques,string,588,8.53
data.sca.check.compliance.nist_sp_800-53,string,553,8.02
data.sca.check.compliance.pci_dss_3.2.1,string,2,0.03
data.sca.check.compliance.pci_dss_4.0,string,2,0.03
data.sca.check.compliance.pci_dss_v3.2.1,string,791,11.48
data.sca.check.compliance.pci_dss_v4.0,string,800,11.61
data.sca.check.compliance.soc_2,string,803,11.65
data.sca.check.description,string,1092,15.84
data.sca.check.directory,array,98,1.42
data.sca.check.directory[],string,98,1.42
data.sca.check.file,array,170,2.47
data.sca.check.file[],string,170,2.47
data.sca.check.id,string,1092,15.84
data.sca.check.previous_result,string,52,0.75
data.sca.check.rationale,string,1092,15.84
data.sca.check.reason,string,115,1.67
data.sca.check.references,string,313,4.54
data.sca.check.registry,array,443,6.43
data.sca.check.registry[],string,443,6.43
data.sca.check.remediation,string,1092,15.84
data.sca.check.result,string,1092,15.84
data.sca.check.title,string,1092,15.84
data.sca.description,string,7,0.10
data.sca.failed,string,7,0.10
data.sca.file,string,7,0.10
data.sca.invalid,string,7,0.10
data.sca.passed,string,7,0.10
data.sca.policy,string,1099,15.94
data.sca.policy_id,string,7,0.10
data.sca.scan_id,string,1099,15.94
data.sca.score,string,7,0.10
data.sca.total_checks,string,7,0.10
data.sca.type,string,1099,15.94
data.shell,string,4,0.06
data.srcip,string,42,0.61
data.srcport,string,20,0.29
data.srcuser,string,301,4.37
data.status,string,24,0.35
data.tty,string,146,2.12
data.uid,string,170,2.47
data.version,string,1155,16.76
data.vulnerability.assigner,string,1442,20.92
data.vulnerability.classification,string,2842,41.23
data.vulnerability.cve,string,2842,41.23
